iter	Passed	Remaining
402	8959	2156
403	8987	2135
404	9018	2115
405	9053	2096
406	9089	2076
407	9118	2056
408	9153	2036
409	9182	2015
410	9211	1994
411	9242	1974
412	9268	1952
413	9296	1931
414	9320	1908
415	9345	1887
416	9370	1865
417	9394	1842
418	9415	1820
419	9437	1797
420	9460	1775
421	9483	1752
422	9506	1730
423	9528	1707
424	9550	1685
425	9573	1662
426	9596	1640
427	9618	1618
428	9660	1598
429	9683	1576
430	9706	1553
431	9728	1531
432	9753	1509
433	9779	1487
434	9807	1465
435	9833	1443
436	9861	1421
437	9887	1399
438	9915	1377
439	9941	1355
440	9963	1332
441	9983	1310
442	10003	1287
443	10021	1263
444	10043	1241
445	10063	1218
446	10083	1195
447	10104	1172
448	10126	1150
449	10153	1128
450	10178	1105
451	10198	1083
452	10264	1065
453	10285	1042
454	10307	1019
455	10330	996
456	10350	973
457	10371	951
458	10391	928
459	10411	905
460	10432	882
461	10454	859
462	10474	837
463	10494	814
464	10514	791
465	10536	768
466	10557	746
467	10577	723
468	10599	700
469	10620	677
470	10640	655
471	10660	632
472	10680	609
473	10701	587
474	10722	564
475	10745	541
476	10765	519
477	10785	496
478	10805	473
479	10825	451
480	10846	428
481	10867	405
482	10884	383
483	10904	360
484	10924	337
485	10944	315
486	10966	292
487	10987	270
488	11021	247
489	11042	225
490	11063	202
491	11084	180
492	11107	157
493	11128	135
494	11151	112
495	11172	90
496	11193	67
497	11215	45
498	11237	22
499	11258	0
